zip_code,snapshot_date,market_size,members,members_gained,members_lost
93202,2024-09-30,12654,3429,,
93202,2024-12-31,12672,3379,22,72
93202,2025-03-31,12691,3466,149,62
93202,2025-06-30,12709,3470,86,82
93202,2025-09-30,12727,3356,0,114
93202,2025-12-31,12745,3387,102,71
93202,2026-03-31,12764,3460,156,83
93202,2026-06-30,12782,3451,69,78
93204,2024-09-30,5671,9290,,
93204,2024-12-31,5721,9388,289,191
93204,2025-03-31,5772,9131,0,257
93204,2025-06-30,5823,9366,417,182
93204,2025-09-30,5875,9224,70,212
93204,2025-12-31,5927,9170,150,204
93204,2026-03-31,5980,9009,43,204
93204,2026-06-30,6033,9113,305,201
93210,2024-09-30,15023,18257,,
93210,2024-12-31,15089,17925,4,336
93210,2025-03-31,15155,18479,967,413
93210,2025-06-30,15221,18267,219,431
93210,2025-09-30,15287,18806,954,415
93210,2025-12-31,15354,19147,697,356
93210,2026-03-31,15421,19474,743,416
93210,2026-06-30,15488,19347,289,416
93212,2024-09-30,6535,14053,,
93212,2024-12-31,6554,14289,517,281
93212,2025-03-31,6572,14519,509,279
93212,2025-06-30,6591,14510,267,276
93212,2025-09-30,6611,14533,315,292
93212,2025-12-31,6630,14701,542,374
93212,2026-03-31,6649,15115,683,269
93212,2026-06-30,6668,14911,160,364
93221,2024-09-30,12956,2452,,
93221,2024-12-31,12993,2507,113,58
93221,2025-03-31,13031,2562,106,51
93221,2025-06-30,13068,2565,47,44
93221,2025-09-30,13106,2584,64,45
93221,2025-12-31,13144,2601,64,47
93221,2026-03-31,13182,2607,65,59
93221,2026-06-30,13220,2607,56,56
93223,2024-09-30,20065,19849,,
93223,2024-12-31,20123,19758,302,393
93223,2025-03-31,20181,20376,958,340
93223,2025-06-30,20239,20366,449,459
93223,2025-09-30,20297,20318,350,398
93223,2025-12-31,20356,20688,797,427
93223,2026-03-31,20415,20902,680,466
93223,2026-06-30,20474,20942,508,468
93227,2024-09-30,25170,4675,,
93227,2024-12-31,25243,4681,110,104
93227,2025-03-31,25316,4793,197,85
93227,2025-06-30,25389,4780,82,95
93227,2025-09-30,25463,4736,76,120
93227,2025-12-31,25536,4800,158,94
93227,2026-03-31,25610,4942,254,112
93227,2026-06-30,25684,4987,134,89
93230,2024-09-30,18755,13659,,
93230,2024-12-31,18782,13576,142,225
93230,2025-03-31,18808,13784,496,288
93230,2025-06-30,18836,13951,433,266
93230,2025-09-30,18863,13564,0,387
93230,2025-12-31,18890,13964,686,286
93230,2026-03-31,18917,14041,441,364
93230,2026-06-30,18944,13972,215,284
93232,2024-09-30,340,1161,,
93232,2024-12-31,340,1169,30,22
93232,2025-03-31,341,1147,0,22
