zip_code,service_area,med_center,market_size,members,snapshot_date,notes
93529,Manhattan City,Cosmopolitan,"26,006","11,857",2026-06-30 00:00:00,
93210,Desert Valley,Sahara,15488,19347,06/30/2026,
93290,Sandy Bch ,Blue Harbor,5953,3261,06/30/2026,
93612,mountain town,Glacier Peak,37216,2056,30-Jun-2026,
CA-93603,mountain town,Summit,36089,-1817,2025-12-31,prior period
93242.0,Manhattan City,Empire,30691,1604,06/30/2026,
93450,Manhattan City,Empire,6624,6927,2026-06-30 00:00:00,
93262, Desert Valley,Mojave,42474,15409,2025-12-31,prior period
93204,Mountain Town,Summit,6033,9113,2026-06-30 00:00:00,
93232,SANDY BEACH,Shady Cove,343,,2026-06-30 00:00:00,
93234,sandy beach,Gold Coast,4045,4229,06/30/2026,
93262, Desert Valley,Mojave,42474,18409,2026-06-30,
93619.0,SANDY BEACH,Blue Harbor,5633,3192,2026-06-30 00:00:00,
 93620 ,SANDY BEACH,Shady Cove,10584,1777,06/30/2026,
93616,Desert Valley,Sahara,"31,165","4,979",2026-06-30,
93267,Sandy Bch ,Shady Cove,7073,2104,2026-06-30,
93512,Mountain Town,Glacier Peak,5846,2424,2026-06-30,
93611,Mtn Town,Glacier Peak,30736,6038,06/30/2026,
93605,Desert Valley,Mojave,40414,500,2026-06-30,
CA-93223,DESERT VALLEY,Mojave,20474,20942,2026-06-30 00:00:00,
93245,Sandy Bch ,Blue Harbor,4404,1909,2026-06-30 00:00:00,
93237,manhattan city,City Center,32983,11878,06/30/2026,
93212,Desert Valley,Mojave,6668,14911,30-Jun-2026,
93271,desert valley,Joshua Tree,10252,20647,06/30/2026,
94553,Coastal Ridge,Bayview,41000,12000,2026-06-30,
93266,sandy beach,Gold Coast,"3,921","5,800",2026-06-30 00:00:00,
93275,Sandy Beach,Gold Coast,6194,1866,2026-06-30,
93235,Mountain Town,Summit,27878,9704,2026-06-30,
93541,desert valley,Mojave,11722,18439,2026-06-30 00:00:00,
93286.0,Desert Vly ,Sahara,3523,29175,30-Jun-2026,
93227,DESERT VALLEY,Joshua Tree,25684,4987,2026-06-30,
93613,Sandy Bch ,Blue Harbor,4678,2255,30-Jun-2026,
CA-93618,Manhattan Cty,Cosmopolitan,13179,337,2026-06-30,
 93291 ,Manhattan City,City Center,7777,9148,30-Jun-2026,
93609,manhattan city,Empire,24678,14220,2026-06-30,
93610,Manhattan Cty,City Center,22240,3974,2026-06-30 00:00:00,
93604.0,Desert Valley,Joshua Tree,6787,24426,2026-06-30 00:00:00,
CA-93603,mountain town,Summit,36089,1183,06/30/2026,
93282,MOUNTAIN TOWN ,Glacier Peak,"55,551","9,125",30-Jun-2026,
93237,manhattan city,City Center,32983,11878,06/30/2026,
 93615 , Desert Valley,Joshua Tree,42193,3376,06/30/2026,
93517,Sandy Bch ,Gold Coast,3252,5568,30-Jun-2026,
93244,Mtn Town,Glacier Peak,5300,5789,06/30/2026,
93607,Mtn Town,Sierra,"14,782","6,787",06/30/2026,
93546,Desert Vly ,Joshua Tree,"38,583","12,237",30-Jun-2026,
93608,Mountain Town,Sierra,18447,10404,30-Jun-2026,
93277,manhattan city,Cosmopolitan ,11068,7980,30-Jun-2026,
 93247 ,SANDY BEACH,Blue Harbor,"4,550",932,2026-06-30,
93611,Mtn Town,Glacier Peak,30736,6038,06/30/2026,
93230,Manhattan City,Cosmopolitan,18944,13972,2026-06-30,
93239,sandy beach,Gold Coast,11845,2704,30-Jun-2026,
93602.0,mountain town,Sierra,27583,13287,2026-06-30,
93601,Mountain Town,Sierra,29188,9522,2026-06-30 00:00:00,
93234,sandy beach,Gold Coast,4045,4229,06/30/2026,
93606,Desert Valley,Joshua Tre,21501,14327,2026-06-30,
93202,Sandy Bch ,Blue Harbor,12782,3451,30-Jun-2026,
93546,Desert Vly ,Joshua Tree,"38,583","12,237",30-Jun-2026,
93426,manhattan city,Empire,21007,12249,30-Jun-2026,
 93292 ,mountain town,Glacier Pk,5351,4568,2026-06-30 00:00:00,
94572,Coastal Ridge,Bayview,29500,8800,2026-06-30,
93246,Manhattan City,Cosmopolitan,34803,10854,06/30/2026,
93221,SANDY BEACH,Gold Coast,13220,2607,2026-06-30,
93278, Desert Valley,Mojave,37752,10374,30-Jun-2026,
93279,SANDY BEACH,Gold Coast,1523,2226,06/30/2026,
93614,Desert Vly ,Sahara,39824,1499,2026-06-30 00:00:00,
93274,Desert Valley,Mojave,"5,496","6,425",06/30/2026,
,,,,,,
TOTAL,,,"1,120,500","486,447",,sum of above
